amc_name,amc_code
The Wealth Company Mutual Fund,174
HSBC Mutual Fund,O
Capitalmind Mutual Fund,183
AXIS MUTUAL FUND,128
ITI MUTUAL FUND,152
TAURUS Mutual Fund,TMF
BANK OF INDIA MUTUAL FUND,116
Kotak Mutual Fund,K
NJ MUTUAL FUND,187
Choice Mutual Fund,CHS
UTI MUTUAL FUND,108
Mahindra Manulife Mutual Fund,MM
TRUST MUTUAL FUND,185
Quant MF,166
Old Bridge Mutual Fund,139
LIC MUTUAL FUND,102
SUNDARAM MUTUAL FUND,176
NIPPON INDIA MUTUAL FUND,RMF
Baroda BNP Paribas Mutual Fund,178
Bajaj Finserv Mutual Fund,189
GROWW MUTUAL FUND,125
360 ONE Mutual Fund,IF
Aditya Birla Sun Life Mutual Fund,B
Franklin Templeton Mutual Fund,FTI
Bandhan Mutual Fund,G
Canara Robeco Mutual Fund,101
Jio BlackRock Mutual Fund,JIO
Unifi Mutual Fund,UFI
DSP Mutual Fund,D
WhiteOak Capital Mutual Fund,Y
MOTILAL OSWAL MUTUAL FUND,127
INVESCO MUTUAL FUND,120
ICICI Prudential Mutual Fund,P
Zerodha Fund House,Z
HDFC Mutual Fund,H
SAMCO MUTUAL FUND,188
Helios Mutual Fund,HLS
NAVI MF,PLF
Angel One MF,AO
JM Financial Mutual Fund,105
Shriram Mutual Fund,SH
QUANTUM MUTUAL FUND,123
SBI Mutual Fund,L
Edelweiss Mutual Fund,118
Tata Mutual Fund,T
PPFAS Mutual Fund,PP
Union Mutual Fund,UK
Mirae Asset Mutual Fund,117
PGIM INDIA MUTUAL FUND,129
